year,csd,boro,enrollment_csd,enrollment_boro,enrollment_nyc,classroom_csd,classroom_boro,classroom_nyc,support_csd,support_boro,support_nyc,leadership_csd,leadership_boro,leadership_nyc,ancillary_csd,ancillary_boro,ancillary_nyc,building_csd,building_boro,building_nyc,grand_total_csd,grand_total_boro,grand_total_nyc,weight
2005,29,Queens,29626,271494,1075338,7291.413159966,7208.4609375,8185.830566406,1442.819551306,1413.697143555,1907.354614258,1363.627227533,1286.922973633,1452.490356445,1283.179099689,1249.646606445,1393.950683594,930.4478792153,897.7135620117,1053.554931641,14142.48726935,13941.16210938,15939.81933594,0.1091221
2005,30,Queens,42032,271494,1075338,7522.804107163,7208.4609375,8185.830566406,1493.700249931,1413.697143555,1907.354614258,1391.168941477,1286.922973633,1452.490356445,1309.442113298,1249.646606445,1393.950683594,941.2260724741,897.7135620117,1053.554931641,14537.10192264,13941.16210938,15939.81933594,0.1548174
2005,31,Staten Island,59469,59469,1075338,7147.403517877,7147.403808594,8185.830566406,1805.561830173,1805.561889648,1907.354614258,1173.289254586,1173.28918457,1452.490356445,1506.582592656,1506.582641602,1393.950683594,1038.374652589,1038.374633789,1053.554931641,14606.17325336,14606.17285156,15939.81933594,1
2006,7,Bronx,20562,216999,1055986,9095.351172301,8627.102539063,8658.904296875,2377.343630051,1881.553955078,2081.853027344,1696.941406452,1561.079101563,1446.333862305,1544.99887484,1499.852172852,1548.876586914,1389.570837384,1072.708251953,1172.259887695,18456.12676065,17001.75,17248.0390625,0.0947562
2006,8,Bronx,34599,216999,1055986,8073.229063281,8627.102539063,8658.904296875,1855.386136891,1881.553955078,2081.853027344,1475.239828785,1561.079101563,1446.333862305,1508.599761353,1499.852172852,1548.876586914,994.3332573507,1072.708251953,1172.259887695,16346.11616166,17001.75,17248.0390625,0.1594431
2006,9,Bronx,32404,216999,1055986,9366.883024207,8627.102539063,8658.904296875,1802.225058127,1881.553955078,2081.853027344,1618.823433265,1561.079101563,1446.333862305,1632.465787645,1499.852172852,1548.876586914,1153.843531049,1072.708251953,1172.259887695,17904.20011164,17001.75,17248.0390625,0.1493279
2006,10,Bronx,64130,216999,1055986,8712.305194539,8627.102539063,8658.904296875,1795.303471601,1881.553955078,2081.853027344,1571.721884083,1561.079101563,1446.333862305,1354.850401872,1499.852172852,1548.876586914,1000.296522264,1072.708251953,1172.259887695,16761.84692523,17001.75,17248.0390625,0.2955313
2006,11,Bronx,41436,216999,1055986,7875.464041881,8627.102539063,8658.904296875,1738.741611931,1881.553955078,2081.853027344,1396.665696026,1561.079101563,1446.333862305,1514.174889747,1499.852172852,1548.876586914,912.7202761204,1072.708251953,1172.259887695,15784.8511939,17001.75,17248.0390625,0.1909502
2006,12,Bronx,23868,216999,1055986,9098.212183895,8627.102539063,8658.904296875,2079.742168639,1881.553955078,2081.853027344,1746.906446841,1561.079101563,1446.333862305,1632.971256333,1499.852172852,1548.876586914,1275.502839663,1072.708251953,1172.259887695,18231.20809379,17001.75,17248.0390625,0.1099913
2006,13,Brooklyn,21717,318842,1055986,8173.45712534,8127.150390625,8658.904296875,1688.858390069,1800.757202148,2081.853027344,1383.664808746,1331.838378906,1446.333862305,1154.692859334,1284.643310547,1548.876586914,1610.827265378,1138.481933594,1172.259887695,16407.91991738,15995.13769531,17248.0390625,0.0681121
